自律心 / Self-Regulation						tự lập
誠実さ / Honesty 							trung thực
スピリチュアリティ / Spirituality					tâm linh
寛容さ / Forgiveness						sức chịu đựng					
知的柔軟性 / Judgment						thông minh					
熱意 / Zest							nhiệt tình
好奇心 / Curiosity						tò mò
大局観 / Perspective						toàn cảnh
創造性 / Creativity						sáng tạo
感謝 / Gratitude							biết ơn
公平さ / Fairness							công bằng
忍耐力 / Perseverance						nhẫn nại
審美眼 / Appreciation of Beauty & Excellence			mắt thẩm mỹ
社会的知性 / Social Intelligence					trí tuệ xã hội
チームワーク / Teamwork						làm việc nhóm
勇敢さ / Bravery							dũng cảm
リーダーシップ / Leadership						khả năng lãnh đạo
愛情 / Love							yêu
ユーモア / Humor							hài hước
思慮深さ / Prudence						chu đáo
向学心 / Love of Learning					hiếu học
慎み深さ / Humility						khiêm tốn
親切心 / Kindness						tốt bụng
